Target,Feature,MeanAbsSHAP
res_u0,MorganFP_1154,0.0011107839217729635
res_u0,VSA_EState8,0.0010996580194987473
res_u0,MorganFP_114,0.001096006994135678
res_u0,MorganFP_1915,0.001077864388236776
res_u0,EState_VSA9,0.0010747307875863044
res_u0,MorganFP_1369,0.001066278845188208
res_u0,MorganFP_1604,0.001064507328090258
res_u0,fr_Ndealkylation1,0.0010490580876212335
res_u0,MorganFP_841,0.0010367985327611677
res_u0,MorganFP_1063,0.0010363269794615917
res_u0,MorganFP_316,0.001036318530794233
res_u0,MorganFP_1791,0.0010361083009047434
res_u0,MorganFP_900,0.0010359323510783724
res_u0,MorganFP_492,0.0010317312623374165
res_u0,EState_VSA5,0.0010230379090003226
res_u0,MorganFP_1457,0.0010191561909741723
res_u0,SPS,0.0010100993154101162
res_u0,MorganFP_84,0.0010027051235665567
res_u0,MorganFP_1282,0.0009893572650034911
res_u0,MorganFP_2041,0.0009850859135331121
res_u0,MorganFP_1009,0.00097558868321903
res_u0,MorganFP_263,0.0009688499606199911
res_u0,MorganFP_1172,0.0009645550282932618
res_u0,PEOE_VSA10,0.0009638580736227595
res_u0,Kappa2,0.0009534255700663721
res_u0,MorganFP_1689,0.0009493683712207713
res_u0,MorganFP_1602,0.0009473304038401693
res_u0,fr_halogen,0.0009449050277471542
res_u0,VSA_EState3,0.000937461072696351
res_u0,MorganFP_1136,0.0009255273184826365
res_u0,MorganFP_238,0.0009233110627828864
res_u0,MorganFP_2035,0.0009187128535450028
res_u0,MorganFP_1523,0.0009100086431863019
res_u0,MorganFP_31,0.0009074334710967378
res_u0,MorganFP_602,0.0008938004990195623
res_u0,MorganFP_1431,0.0008860317698636209
res_u0,NumHDonors,0.0008853564592918559
res_u0,MorganFP_609,0.0008850452278056764
res_u0,MorganFP_849,0.0008788572445046157
res_u0,MorganFP_1019,0.000878737818705531
res_u0,MorganFP_431,0.0008730380777716959
res_u0,FpDensityMorgan2,0.0008662114461494639
res_u0,MorganFP_1349,0.0008654763884551358
res_u0,MorganFP_1810,0.0008623082919802982
res_u0,MorganFP_221,0.0008598714404051862
res_u0,MorganFP_712,0.0008583810547552276
res_u0,fr_NH2,0.0008420494018337195
res_u0,MorganFP_1487,0.0008392473119893111
res_u0,MorganFP_1745,0.0008289277221338125
res_u0,fr_priamide,0.000825341988762375
res_u0,Chi3n,0.0008207590674683161
res_u0,MorganFP_528,0.0008178069400310051
res_u0,MorganFP_550,0.0008097200560150668
res_u0,MorganFP_61,0.0008089549321302911
res_u0,Chi3v,0.000807792983415311
res_u0,MorganFP_598,0.0008026131846127101
res_u0,MorganFP_11,0.0008005984966584947
res_u0,MorganFP_393,0.000786805917021411
res_u0,MorganFP_1481,0.0007848046353028621
res_u0,HallKierAlpha,0.0007815654899106903
res_u0,MorganFP_1017,0.0007760652971846866
res_u0,MorganFP_854,0.0007757207337144792
res_u0,EState_VSA7,0.0007627703428701125
res_u0,MorganFP_739,0.0007603368116438106
res_u0,MorganFP_970,0.0007565710019480321
res_u0,MaxAbsPartialCharge,0.000740578693439602
res_u0,Chi1,0.0007400446024305154
res_u0,MorganFP_1407,0.0007331029851920903
res_u0,MorganFP_287,0.0007261785195441917
res_u0,MorganFP_1056,0.0007235541426634882
res_u0,MorganFP_297,0.0007214437773727696
res_u0,MorganFP_706,0.0007210303824831499
res_u0,fr_alkyl_carbamate,0.0007204086961501161
res_u0,VSA_EState4,0.0007201595523974902
res_u0,MorganFP_508,0.0007176251580822281
res_u0,MorganFP_590,0.0007163123632781208
res_u0,MorganFP_228,0.0007151424559851875
res_u0,MorganFP_1439,0.000714178588707
res_u0,MorganFP_1772,0.0007114283042901661
res_u0,MorganFP_1181,0.0007112003747024574
res_u0,MorganFP_699,0.0007095252494327724
res_u0,MorganFP_473,0.0007058932820218616
res_u0,MorganFP_1415,0.0007055195283319336
res_u0,MorganFP_918,0.0007033593776432099
res_u0,MorganFP_1747,0.0007022075762215536
res_u0,fr_ArN,0.0007020458634360694
res_u0,MorganFP_151,0.0006997939579596277
res_u0,MorganFP_1351,0.0006978789296117611
res_u0,MorganFP_924,0.000697857705745264
res_u0,MorganFP_361,0.0006971598453819752
res_u0,MorganFP_669,0.0006880559637584157
res_u0,MorganFP_1946,0.0006837680842891132
res_u0,MorganFP_220,0.0006811560849600937
res_u0,MorganFP_487,0.0006773909720941447
res_u0,MorganFP_1506,0.0006773261895868927
res_u0,MorganFP_504,0.0006768176387995481
res_u0,MorganFP_241,0.0006723235921235755
res_u0,MorganFP_1391,0.0006658884547450725
res_u0,MorganFP_62,0.0006658534943417181
res_u0,MorganFP_562,0.0006624241933168378
res_u0,MorganFP_997,0.0006618424655462149
res_u0,MorganFP_302,0.000660519871606084
res_u0,MorganFP_225,0.0006564573469331663
res_u0,MorganFP_2040,0.0006547535859155005
res_u0,MorganFP_1468,0.00065285300949472
res_u0,MorganFP_1909,0.0006525854413775959
res_u0,Phi,0.0006480504696963862
res_u0,MorganFP_1910,0.0006463681244758845
res_u0,MorganFP_956,0.0006454182212328306
res_u0,MorganFP_1811,0.0006441110645682784
res_u0,MorganFP_960,0.0006429372078855522
res_u0,NHOHCount,0.0006424567636433664
res_u0,MorganFP_140,0.0006411273628182244
res_u0,MorganFP_1839,0.000639907786535332
res_u0,MorganFP_398,0.000638886709970393
res_u0,fr_Ar_NH,0.0006373292556891101
res_u0,MorganFP_1879,0.0006317933840909972
res_u0,MorganFP_1147,0.0006308493903343333
res_u0,MorganFP_1141,0.0006285867341830453
res_u0,MorganFP_1005,0.0006251119161606766
res_u0,MorganFP_1677,0.0006213507248940004
res_u0,MorganFP_1236,0.0006203249448790303
res_u0,MorganFP_940,0.0006177679609827465
res_u0,MorganFP_56,0.0006131779162678868
res_u0,MorganFP_352,0.000611323490185896
res_u0,MorganFP_1549,0.0006098127566219774
res_u0,MorganFP_715,0.0006087206106749363
res_u0,MorganFP_1225,0.0006069706915295683
res_u0,MorganFP_972,0.0006016616162232822
res_u0,MorganFP_446,0.0005971745330170961
res_u0,MorganFP_91,0.0005944567765691317
res_u0,MorganFP_117,0.0005912802229286171
res_u0,MorganFP_1305,0.0005902249913779088
res_u0,MorganFP_1657,0.0005865838348618126
res_u0,MorganFP_1921,0.000580134863686908
res_u0,MorganFP_875,0.0005794200256932527
res_u0,MorganFP_1592,0.0005783640231820754
res_u0,MorganFP_1593,0.0005776490814459976
res_u0,MorganFP_392,0.0005775440373224683
res_u0,MorganFP_755,0.0005723903089790951
res_u0,MorganFP_617,0.000572226265729114
res_u0,MorganFP_775,0.0005689923415411613
res_u0,MorganFP_349,0.0005686227071637404
res_u0,MorganFP_313,0.0005677547857085301
res_u0,MorganFP_1152,0.000563811760799581
res_u0,fr_piperzine,0.0005608283173096424
res_u0,MorganFP_1385,0.0005555991806613747
res_u0,MorganFP_1917,0.0005532560079630002
res_u0,MorganFP_345,0.0005501088124001399
res_u0,MorganFP_1175,0.0005491642422857695
res_u0,MorganFP_1859,0.0005474822199321352
res_u0,MorganFP_1454,0.0005471621243050322
res_u0,MorganFP_1516,0.0005422345068946015
res_u0,MorganFP_176,0.0005406220151344314
res_u0,MorganFP_547,0.0005393858482782434
res_u0,MorganFP_879,0.0005391473995405249
res_u0,MorganFP_553,0.0005387129027403716
res_u0,MorganFP_1726,0.0005372647517651785
res_u0,MorganFP_434,0.0005369154278596398
res_u0,MorganFP_1786,0.0005360057086218149
res_u0,MorganFP_227,0.0005359488415169836
res_u0,MorganFP_515,0.0005341578056977597
res_u0,MorganFP_721,0.0005311459211188776
res_u0,MorganFP_1425,0.000524616886168701
res_u0,MorganFP_1134,0.0005232411814140505
res_u0,MorganFP_29,0.0005231267096969532
res_u0,MorganFP_413,0.000522111730359029
res_u0,MorganFP_1496,0.0005215956939500757
res_u0,MorganFP_264,0.0005212767195625929
res_u0,fr_benzene,0.0005194587686564773
res_u0,MorganFP_477,0.000517538759923923
res_u0,MorganFP_1675,0.0005154225373553345
res_u0,NumAromaticCarbocycles,0.0005045812628522981
res_u0,PEOE_VSA1,0.0005043603744279608
res_u0,MorganFP_1040,0.0005027700607060978
res_u0,MorganFP_2039,0.000499190555390669
res_u0,MorganFP_1170,0.0004991231064195745
res_u0,MorganFP_1629,0.0004964621600229293
